gene_chrom	gene_start	gene_end	region_chrom	region_start	region_end	gene_id	gene_strand	region_id	target	subset	gene_expr_change	distance_to_tss	ABC_score
chr11	494511	507300	chr11	350704	351232	ENSG00000023191	-	chr11:350704-351232	negative	test	-0.0107965426245613	156067	0.011601069
chr11	494511	507300	chr11	665650	666395	ENSG00000023191	-	chr11:665650-666395	negative	test	0.009468884977192	158351	0.0019511555
chr11	494511	507300	chr11	344951	345333	ENSG00000023191	-	chr11:344951-345333	negative	test	0.0110028548027556	161966	0.0017435177
chr11	494511	507300	chr11	341585	341795	ENSG00000023191	-	chr11:341585-341795	negative	valid	-0.0071359599343254	165504	0.0013857753
chr11	494511	507300	chr11	335788	336158	ENSG00000023191	-	chr11:335788-336158	negative	train	0.0143034737482384	171141	0.0012077449
chr11	494511	507300	chr11	334196	334635	ENSG00000023191	-	chr11:334196-334635	negative	test	0.0030564515129525	172664	0.0028592201
chr11	494511	507300	chr11	329319	329921	ENSG00000023191	-	chr11:329319-329921	negative	train	0.0149706056857137	177378	0.0094783922
chr11	494511	507300	chr11	326861	327696	ENSG00000023191	-	chr11:326861-327696	negative	test	-0.024331799869389	179603	0.0045804534
chr11	494511	507300	chr11	690928	691358	ENSG00000023191	-	chr11:690928-691358	negative	train	-0.0018936256205155	183629	0.0022123833
chr11	494511	507300	chr11	312286	312763	ENSG00000023191	-	chr11:312286-312763	negative	train	-0.0065129652675606	194536	0.0013567145
chr11	494511	507300	chr11	706016	706192	ENSG00000023191	-	chr11:706016-706192	negative	valid	-0.0033370405751702	198717	0.0003766403
chr11	494511	507300	chr11	304973	305283	ENSG00000023191	-	chr11:304973-305283	negative	train	-0.0132332948899267	202016	0.00044780735
chr11	494511	507300	chr11	297498	298134	ENSG00000023191	-	chr11:297498-298134	negative	test	0.0065681647512441	209165	0.0021748166
chr11	494511	507300	chr11	727884	728524	ENSG00000023191	-	chr11:727884-728524	negative	train	0.0072180833568864	220585	0.0019162294
chr11	494511	507300	chr11	277649	277939	ENSG00000023191	-	chr11:277649-277939	negative	train	0.0246560456347904	229360	0.0020684081
chr11	494511	507300	chr11	277492	277649	ENSG00000023191	-	chr11:277492-277649	negative	train	-0.0060736761570154	229650	0.0020684081
chr11	494511	507300	chr11	741566	741825	ENSG00000023191	-	chr11:741566-741825	negative	train	0.0077947707543482	234267	0.00039017481
chr11	494511	507300	chr11	269110	269851	ENSG00000023191	-	chr11:269110-269851	negative	test	-0.0175303883823728	237448	0.018752596
chr11	494511	507300	chr11	745450	745658	ENSG00000023191	-	chr11:745450-745658	negative	train	0.0016530947835067	238151	0.00060186237
chr11	494511	507300	chr11	745658	745806	ENSG00000023191	-	chr11:745658-745806	negative	train	0.0027069288491186	238359	0.00060186237
chr11	494511	507300	chr11	267072	267299	ENSG00000023191	-	chr11:267072-267299	negative	test	0.0101826114634724	240000	0.00067335036
chr11	494511	507300	chr11	783641	783767	ENSG00000023191	-	chr11:783641-783767	negative	train	0.0080894868277101	276342	0.00018480224
chr11	494511	507300	chr11	220536	220704	ENSG00000023191	-	chr11:220536-220704	negative	train	0.0052630739327927	286595	0.0021962022
chr11	494511	507300	chr11	816449	816652	ENSG00000023191	-	chr11:816449-816652	negative	train	0.001661588603359	309150	0.00012902666
chr11	494511	507300	chr11	862075	862396	ENSG00000023191	-	chr11:862075-862396	negative	train	-0.0028117974478632	354776	0.00014639628
chr11	494511	507300	chr11	875735	876561	ENSG00000023191	-	chr11:875735-876561	negative	test	-0.0034366398369911	368436	0.00092559383
chr11	494511	507300	chr11	914743	915124	ENSG00000023191	-	chr11:914743-915124	negative	train	0.0042347803309048	407444	8.097332e-05
chr11	494511	507300	chr11	919229	919287	ENSG00000023191	-	chr11:919229-919287	negative	valid	0.0118147408364759	411930	6.9585988e-05
chr11	494511	507300	chr11	919287	919489	ENSG00000023191	-	chr11:919287-919489	negative	train	-0.005624102693166	411988	6.9585988e-05
chr11	494511	507300	chr11	937643	938334	ENSG00000023191	-	chr11:937643-938334	negative	train	0.0206786635627152	430344	0.00040948603
chr11	494511	507300	chr11	942192	942606	ENSG00000023191	-	chr11:942192-942606	negative	train	-0.0373800305998357	434893	7.6117924e-05
chr8	91013632	91064320	chr8	91012224	91012555	ENSG00000104325	+	chr8:91012224-91012555	positive	train	-0.120584674994713	1077	0.020352719
chr8	91013632	91064320	chr8	91179831	91180665	ENSG00000104325	+	chr8:91179831-91180665	positive	valid	-0.148890338942276	166199	0.021467437
chr8	91013632	91064320	chr8	91007417	91007691	ENSG00000104325	+	chr8:91007417-91007691	negative	train	-0.0365468672085323	5941	0.034412134
chr8	91013632	91064320	chr8	90970412	90970669	ENSG00000104325	+	chr8:90970412-90970669	negative	train	0.0050336999801414	42963	0.0013851033
chr8	91013632	91064320	chr8	90860500	90861030	ENSG00000104325	+	chr8:90860500-90861030	negative	train	0.0239028334203795	152602	0.0017019058
chr8	91013632	91064320	chr8	91177638	91178075	ENSG00000104325	+	chr8:91177638-91178075	negative	valid	-0.134950875571192	164006	0.013324013
chr8	91013632	91064320	chr8	91189773	91190033	ENSG00000104325	+	chr8:91189773-91190033	negative	train	0.0045582255522167	176141	0.0043028553
chr8	91013632	91064320	chr8	91199866	91200353	ENSG00000104325	+	chr8:91199866-91200353	negative	train	-0.0573728345419908	186234	0.0098154317
chr8	91013632	91064320	chr8	91204910	91205309	ENSG00000104325	+	chr8:91204910-91205309	negative	train	-0.0048309949579918	191278	0.0042690647
chr8	91013632	91064320	chr8	91208688	91209178	ENSG00000104325	+	chr8:91208688-91209178	negative	train	-0.0432069625736993	195056	0.0073277379
chr8	91013632	91064320	chr8	91209523	91210128	ENSG00000104325	+	chr8:91209523-91210128	negative	train	-0.0576022461939272	195891	0.015242112
chr8	91013632	91064320	chr8	91211325	91211549	ENSG00000104325	+	chr8:91211325-91211549	negative	train	-0.0745473096747673	197693	0.0015785563
chr8	91013632	91064320	chr8	91223954	91224098	ENSG00000104325	+	chr8:91223954-91224098	negative	test	-0.0372856490981397	210322	0.0011973337
chr8	91013632	91064320	chr8	91226871	91227082	ENSG00000104325	+	chr8:91226871-91227082	negative	test	0.0216017375389912	213239	0.0016903965
chr8	91013632	91064320	chr8	91232252	91232818	ENSG00000104325	+	chr8:91232252-91232818	negative	train	0.0515835053669393	218620	0.0036125018
chr8	91013632	91064320	chr8	91238769	91239054	ENSG00000104325	+	chr8:91238769-91239054	negative	train	0.0117079475192563	225137	0.01045311
chr8	91013632	91064320	chr8	91239482	91239713	ENSG00000104325	+	chr8:91239482-91239713	negative	train	0.023221229106035	225850	0.0056075972
chr8	91013632	91064320	chr8	91243134	91243771	ENSG00000104325	+	chr8:91243134-91243771	negative	train	0.0352835188987237	229502	0.033488259
chr8	91013632	91064320	chr8	90737973	90738391	ENSG00000104325	+	chr8:90737973-90738391	negative	train	0.0049621772345018	275241	0.0024983373
chr8	91013632	91064320	chr8	90662416	90663010	ENSG00000104325	+	chr8:90662416-90663010	negative	train	-0.0109471904987395	350622	0.00077534732
chr8	98787284	98865241	chr8	98789672	98790725	ENSG00000104341	+	chr8:98789672-98790725	positive	valid	-0.258074792746888	2388	0.182676222
chr8	98787284	98865241	chr8	98790774	98790901	ENSG00000104341	+	chr8:98790774-98790901	positive	train	-0.362877497197775	3490	0.078571692
chr8	98787284	98865241	chr8	98790907	98791090	ENSG00000104341	+	chr8:98790907-98791090	positive	train	-0.244150141651898	3623	0.078571692
chr8	98787284	98865241	chr8	98795819	98795915	ENSG00000104341	+	chr8:98795819-98795915	negative	train	-0.0511426799318797	8535	0.028929713
chr8	98787284	98865241	chr8	98795981	98796596	ENSG00000104341	+	chr8:98795981-98796596	negative	train	-0.0411994036101353	8697	0.028929713
chr8	98787284	98865241	chr8	98775840	98776174	ENSG00000104341	+	chr8:98775840-98776174	negative	test	-0.0040618912507444	11110	0.027116395
chr8	98787284	98865241	chr8	98775027	98775332	ENSG00000104341	+	chr8:98775027-98775332	negative	train	0.0140683527037675	11952	0.027671717
chr8	98787284	98865241	chr8	98810846	98811395	ENSG00000104341	+	chr8:98810846-98811395	negative	valid	0.0338068139752581	23562	0.013741743
chr8	98787284	98865241	chr8	98877945	98878241	ENSG00000104341	+	chr8:98877945-98878241	negative	train	0.0006092112271742	90661	0.0023707314
chr8	98787284	98865241	chr8	98903023	98903498	ENSG00000104341	+	chr8:98903023-98903498	negative	train	-0.0100170380591482	115739	0.0035664701
chr8	98787284	98865241	chr8	98905528	98905727	ENSG00000104341	+	chr8:98905528-98905727	negative	train	-0.014452204012628	118244	0.00094859687
chr8	98787284	98865241	chr8	98667475	98667689	ENSG00000104341	+	chr8:98667475-98667689	negative	train	0.0190554049387668	119595	0.00096207354
chr8	98787284	98865241	chr8	98652667	98652839	ENSG00000104341	+	chr8:98652667-98652839	negative	train	0.031548779316442	134445	0.0021601979
chr8	98787284	98865241	chr8	98608044	98608509	ENSG00000104341	+	chr8:98608044-98608509	negative	train	0.0216448358432832	178775	0.002213224
chr8	98787284	98865241	chr8	99097715	99098213	ENSG00000104341	+	chr8:99097715-99098213	negative	test	-0.0006271134038868	310431	0.0017273346
chr8	98787284	98865241	chr8	99105373	99105903	ENSG00000104341	+	chr8:99105373-99105903	negative	train	-0.0013774785746503	318089	0.0026661138
chr8	98787284	98865241	chr8	99124452	99125176	ENSG00000104341	+	chr8:99124452-99125176	negative	train	0.0277400513622403	337168	0.0014056925
chr8	98787284	98865241	chr8	99144613	99145058	ENSG00000104341	+	chr8:99144613-99145058	negative	train	0.0024016963134911	357329	0.0010470484
chr8	98787284	98865241	chr8	99178057	99178551	ENSG00000104341	+	chr8:99178057-99178551	negative	valid	0.0016103496509445	390773	0.00096780235
chr8	98787284	98865241	chr8	99182274	99182560	ENSG00000104341	+	chr8:99182274-99182560	negative	train	0.0116286674491213	394990	0.00013329269
chr8	98787284	98865241	chr8	99191338	99191822	ENSG00000104341	+	chr8:99191338-99191822	negative	train	0.0160675922760793	404054	0.00086405222
chr8	98787284	98865241	chr8	99204357	99205717	ENSG00000104341	+	chr8:99204357-99205717	negative	test	0.0158929128033178	417073	0.00068293353
chr8	98787284	98865241	chr8	98338032	98338550	ENSG00000104341	+	chr8:98338032-98338550	negative	train	-0.0220555617627451	448734	0.0008704434
chr8	98787284	98865241	chr8	98337572	98338032	ENSG00000104341	+	chr8:98337572-98338032	negative	valid	-0.0033868412422175	449252	0.0008704434
chr11	20385230	20405329	chr11	20388954	20389476	ENSG00000109854	+	chr11:20388954-20389476	positive	train	-1.27078862986622	3724	0.15405039
chr11	20385230	20405329	chr11	20393719	20394013	ENSG00000109854	+	chr11:20393719-20394013	positive	valid	-0.769486855051443	8489	0.016340947
chr11	20385230	20405329	chr11	20380784	20380983	ENSG00000109854	+	chr11:20380784-20380983	negative	train	-0.375485105154653	4247	0.022748873
chr11	20385230	20405329	chr11	20378797	20379042	ENSG00000109854	+	chr11:20378797-20379042	negative	train	-0.358069098124388	6188	0.0052750837
chr11	20385230	20405329	chr11	20480567	20481697	ENSG00000109854	+	chr11:20480567-20481697	negative	train	-0.234378730632847	95337	0.023883786
chr11	20385230	20405329	chr11	20482770	20482894	ENSG00000109854	+	chr11:20482770-20482894	negative	test	-0.0412051692024266	97540	0.0019472525
chr11	20385230	20405329	chr11	20493450	20493650	ENSG00000109854	+	chr11:20493450-20493650	negative	test	-0.0434189255893723	108220	0.0012451774
chr11	20385230	20405329	chr11	20499027	20499476	ENSG00000109854	+	chr11:20499027-20499476	negative	train	0.160470912415264	113797	0.0053009638
chr11	20385230	20405329	chr11	20500718	20501412	ENSG00000109854	+	chr11:20500718-20501412	negative	train	-0.0847815569569872	115488	0.002454464
chr11	20385230	20405329	chr11	20509918	20510383	ENSG00000109854	+	chr11:20509918-20510383	negative	train	0.0667428110989839	124688	0.0017698156
chr11	20385230	20405329	chr11	20514816	20515308	ENSG00000109854	+	chr11:20514816-20515308	negative	test	0.299502393503155	129586	0.0021647589
chr11	20385230	20405329	chr11	20587804	20588002	ENSG00000109854	+	chr11:20587804-20588002	negative	valid	0.0795667048968955	202574	0.00026849475
chr11	20385230	20405329	chr11	20133759	20134437	ENSG00000109854	+	chr11:20133759-20134437	negative	train	-0.0073962928044639	250793	0.020040571
chr11	20385230	20405329	chr11	20132460	20132725	ENSG00000109854	+	chr11:20132460-20132725	negative	train	-0.0075656358490342	252505	0.002615889
chr11	20385230	20405329	chr11	20118909	20119390	ENSG00000109854	+	chr11:20118909-20119390	negative	test	-0.133307220188864	265840	0.0014764322
chr11	20385230	20405329	chr11	20111179	20112011	ENSG00000109854	+	chr11:20111179-20112011	negative	train	-0.116250444858089	273219	0.0087106465
chr11	20385230	20405329	chr11	20110242	20110635	ENSG00000109854	+	chr11:20110242-20110635	negative	train	0.0009051685088961	274595	0.002142412
chr11	20385230	20405329	chr11	20102474	20102765	ENSG00000109854	+	chr11:20102474-20102765	negative	train	-0.261545380337824	282465	0.0015737575
chr11	20385230	20405329	chr11	20101484	20102084	ENSG00000109854	+	chr11:20101484-20102084	negative	train	-0.0345180615291613	283146	0.0080533424
chr11	20385230	20405329	chr11	20099675	20099839	ENSG00000109854	+	chr11:20099675-20099839	negative	train	0.1085864629916	285391	0.00029271227
chr11	20385230	20405329	chr11	20016650	20017033	ENSG00000109854	+	chr11:20016650-20017033	negative	train	-0.0273155492487008	368197	0.0036796204
chr11	20385230	20405329	chr11	20008958	20009258	ENSG00000109854	+	chr11:20008958-20009258	negative	train	-0.0328674779759308	375972	0.0003625322
chr11	20385230	20405329	chr11	20002369	20003089	ENSG00000109854	+	chr11:20002369-20003089	negative	train	-0.149108711767303	382141	0.010263486
chr11	20385230	20405329	chr11	20000183	20000789	ENSG00000109854	+	chr11:20000183-20000789	negative	valid	0.0720075666771395	384441	0.0059943993
chr11	20385230	20405329	chr11	19997241	19997497	ENSG00000109854	+	chr11:19997241-19997497	negative	train	-0.022503880333424	387733	0.0014395384
chr11	20385230	20405329	chr11	19996367	19996875	ENSG00000109854	+	chr11:19996367-19996875	negative	train	0.0640100880580542	388355	0.003349117
chr11	20385230	20405329	chr11	19994821	19995031	ENSG00000109854	+	chr11:19994821-19995031	negative	test	-0.0644175078935069	390199	0.002764084
chr11	20385230	20405329	chr11	19977186	19977595	ENSG00000109854	+	chr11:19977186-19977595	negative	train	-0.147392027452144	407635	0.0013247283
chr11	3692312	3819022	chr11	3705975	3706598	ENSG00000110713	-	chr11:3705975-3706598	positive	train	-0.188674108782365	112423	0.0030069806
chr11	3692312	3819022	chr11	3823317	3823960	ENSG00000110713	-	chr11:3823317-3823960	negative	train	-0.0702578638762759	4296	0.010619974
chr11	3692312	3819022	chr11	3830202	3830846	ENSG00000110713	-	chr11:3830202-3830846	negative	train	0.010315602335835	11181	0.010073242
chr11	3692312	3819022	chr11	3845969	3846357	ENSG00000110713	-	chr11:3845969-3846357	negative	test	0.0417955753455463	26948	0.01061927
chr11	3692312	3819022	chr11	3846652	3846805	ENSG00000110713	-	chr11:3846652-3846805	negative	test	0.0616203565199315	27631	0.0066061427
chr11	3692312	3819022	chr11	3852740	3853403	ENSG00000110713	-	chr11:3852740-3853403	negative	train	-0.052951329214094	33719	0.011417633
chr11	3692312	3819022	chr11	3854683	3855091	ENSG00000110713	-	chr11:3854683-3855091	negative	valid	-0.0079234503065969	35662	0.0087530086
chr11	3692312	3819022	chr11	3855556	3856826	ENSG00000110713	-	chr11:3855556-3856826	negative	train	0.0184462973298853	36535	0.047723996
chr11	3692312	3819022	chr11	3862078	3863299	ENSG00000110713	-	chr11:3862078-3863299	negative	valid	0.0159095439262639	43057	0.011227979
chr11	3692312	3819022	chr11	3870486	3870777	ENSG00000110713	-	chr11:3870486-3870777	negative	train	-0.0298753257449964	51465	0.0012672809
chr11	3692312	3819022	chr11	3874089	3874480	ENSG00000110713	-	chr11:3874089-3874480	negative	train	-0.0723756245326684	55068	0.0027734664
chr11	3692312	3819022	chr11	3875123	3876852	ENSG00000110713	-	chr11:3875123-3876852	negative	train	0.0198198979555823	56102	0.044976829
chr11	3692312	3819022	chr11	3880753	3881137	ENSG00000110713	-	chr11:3880753-3881137	negative	train	0.0838249596231894	61732	0.0077855052
chr11	3692312	3819022	chr11	3882137	3882381	ENSG00000110713	-	chr11:3882137-3882381	negative	train	-0.0188150502753717	63116	0.0041279581
chr11	3692312	3819022	chr11	3886978	3887398	ENSG00000110713	-	chr11:3886978-3887398	negative	train	0.039999361504975	67957	0.006751216
chr11	3692312	3819022	chr11	3887455	3887741	ENSG00000110713	-	chr11:3887455-3887741	negative	train	0.0724258295085656	68434	0.006751216
chr11	3692312	3819022	chr11	3888535	3889369	ENSG00000110713	-	chr11:3888535-3889369	negative	train	0.0462045663210834	69514	0.0076159301
chr11	3692312	3819022	chr11	3892386	3892857	ENSG00000110713	-	chr11:3892386-3892857	negative	train	0.0024512984789434	73365	0.0070923493
chr11	3692312	3819022	chr11	3899851	3900226	ENSG00000110713	-	chr11:3899851-3900226	negative	train	0.0179450720485312	80830	0.0020632696
chr11	3692312	3819022	chr11	3912941	3913310	ENSG00000110713	-	chr11:3912941-3913310	negative	train	0.0340671227176674	93920	0.0041667739
chr11	3692312	3819022	chr11	3913368	3913720	ENSG00000110713	-	chr11:3913368-3913720	negative	test	-0.0104732929351561	94347	0.0041667739
chr11	3692312	3819022	chr11	3916348	3916699	ENSG00000110713	-	chr11:3916348-3916699	negative	train	0.0259560744580893	97327	0.0021240296
chr11	3692312	3819022	chr11	3924771	3925142	ENSG00000110713	-	chr11:3924771-3925142	negative	train	0.0293302408225981	105750	0.00073137952
chr11	3692312	3819022	chr11	3926274	3926558	ENSG00000110713	-	chr11:3926274-3926558	negative	train	-0.0396186696994292	107253	0.00042138986
chr11	3692312	3819022	chr11	3941319	3941697	ENSG00000110713	-	chr11:3941319-3941697	negative	train	-0.012062067776434	122298	0.0014290326
chr11	3692312	3819022	chr11	3686946	3687307	ENSG00000110713	-	chr11:3686946-3687307	negative	train	0.0524081867997382	131714	0.0013405313
chr11	3692312	3819022	chr11	3970490	3970655	ENSG00000110713	-	chr11:3970490-3970655	negative	train	0.061665845397008	151469	0.00080476607
chr11	3692312	3819022	chr11	3666022	3666484	ENSG00000110713	-	chr11:3666022-3666484	negative	valid	0.03815733105957	152537	0.00080647503
chr11	3692312	3819022	chr11	3972392	3972829	ENSG00000110713	-	chr11:3972392-3972829	negative	train	0.0152365834187909	153371	0.0017945584
chr11	3692312	3819022	chr11	3664558	3664710	ENSG00000110713	-	chr11:3664558-3664710	negative	valid	0.0105609022935271	154311	0.003585977
chr11	3692312	3819022	chr11	3975619	3976065	ENSG00000110713	-	chr11:3975619-3976065	negative	train	0.0131478328584282	156598	0.0029997426
chr11	3692312	3819022	chr11	3980208	3980529	ENSG00000110713	-	chr11:3980208-3980529	negative	valid	-0.0638129717404431	161187	0.0001098647
chr11	3692312	3819022	chr11	3986769	3986988	ENSG00000110713	-	chr11:3986769-3986988	negative	train	0.0058483942898141	167748	0.0020919652
chr11	3692312	3819022	chr11	3647529	3647668	ENSG00000110713	-	chr11:3647529-3647668	negative	train	-0.0096058730320436	171353	0.00068609111
chr11	3692312	3819022	chr11	3998251	3998697	ENSG00000110713	-	chr11:3998251-3998697	negative	train	0.0768302300396588	179230	0.0003172742
chr11	3692312	3819022	chr11	3635475	3636207	ENSG00000110713	-	chr11:3635475-3636207	negative	test	0.0334346155402553	182814	0.00085317691
chr11	3692312	3819022	chr11	4006157	4006564	ENSG00000110713	-	chr11:4006157-4006564	negative	train	0.0226295287695454	187136	0.00065390852
chr11	3692312	3819022	chr11	3625972	3626850	ENSG00000110713	-	chr11:3625972-3626850	negative	train	-0.0519349816652723	192171	0.00075077098
chr11	3692312	3819022	chr11	4017107	4017612	ENSG00000110713	-	chr11:4017107-4017612	negative	train	-0.0201908503604507	198086	0.0060602066
chr11	3692312	3819022	chr11	4040071	4040257	ENSG00000110713	-	chr11:4040071-4040257	negative	train	-0.0672828449782803	221050	0.0001998174
chr11	3692312	3819022	chr11	4065285	4065763	ENSG00000110713	-	chr11:4065285-4065763	negative	valid	-0.0144024639473396	246264	0.00062412287
chr11	3692312	3819022	chr11	4079189	4079768	ENSG00000110713	-	chr11:4079189-4079768	negative	train	-0.0292282116667301	260168	0.0027184221
chr11	3692312	3819022	chr11	4093793	4094308	ENSG00000110713	-	chr11:4093793-4094308	negative	train	0.0051221744291725	274772	0.0017302558
chr11	3692312	3819022	chr11	3538573	3538681	ENSG00000110713	-	chr11:3538573-3538681	negative	train	0.0082390996350276	280340	0.0017406745
chr11	3692312	3819022	chr11	3538448	3538563	ENSG00000110713	-	chr11:3538448-3538563	negative	test	0.0225594095944976	280458	0.0017406745
chr11	3692312	3819022	chr11	3538265	3538445	ENSG00000110713	-	chr11:3538265-3538445	negative	train	-0.0117828259999228	280576	0.0017406745
chr11	3692312	3819022	chr11	3532700	3532962	ENSG00000110713	-	chr11:3532700-3532962	negative	train	0.0339838380185374	286059	0.00029368162
chr11	3692312	3819022	chr11	3532549	3532699	ENSG00000110713	-	chr11:3532549-3532699	negative	train	-0.0098058730381127	286322	0.00029368162
chr11	3692312	3819022	chr11	3530622	3530741	ENSG00000110713	-	chr11:3530622-3530741	negative	train	0.0581791006537334	288280	9.8201064e-05
chr11	3692312	3819022	chr11	3530506	3530620	ENSG00000110713	-	chr11:3530506-3530620	negative	test	-0.0303364790112604	288401	9.8201064e-05
chr11	3692312	3819022	chr11	3528557	3529019	ENSG00000110713	-	chr11:3528557-3529019	negative	train	0.029777402184927	290002	0.00062984056
chr11	3692312	3819022	chr11	4165958	4166333	ENSG00000110713	-	chr11:4165958-4166333	negative	train	0.0377879492506614	346937	0.00051846157
chr11	3692312	3819022	chr11	4166885	4168299	ENSG00000110713	-	chr11:4166885-4168299	negative	train	0.0231240803868673	347864	0.0053376382
chr11	3692312	3819022	chr11	3465647	3465720	ENSG00000110713	-	chr11:3465647-3465720	negative	train	0.11900581100263	353301	0.00013820207
chr11	3692312	3819022	chr11	3465560	3465633	ENSG00000110713	-	chr11:3465560-3465633	negative	train	-0.0524178396148954	353388	0.00013820207
chr11	3692312	3819022	chr11	3465446	3465524	ENSG00000110713	-	chr11:3465446-3465524	negative	train	0.0358176380517988	353497	0.00013820207
chr11	3692312	3819022	chr11	3465279	3465429	ENSG00000110713	-	chr11:3465279-3465429	negative	train	-0.0181894265464025	353592	0.00013820207
chr11	3692312	3819022	chr11	3459063	3459272	ENSG00000110713	-	chr11:3459063-3459272	negative	train	-0.0384947100090083	359749	0.00032276376
chr11	3692312	3819022	chr11	3458588	3458986	ENSG00000110713	-	chr11:3458588-3458986	negative	train	0.0078744736866237	360035	0.00032276376
chr11	3692312	3819022	chr11	4182494	4182930	ENSG00000110713	-	chr11:4182494-4182930	negative	train	0.0171721270976009	363473	0.0020259501
chr11	3692312	3819022	chr11	3443737	3443990	ENSG00000110713	-	chr11:3443737-3443990	negative	train	-0.0228799003930378	375031	0.012906189
chr11	3692312	3819022	chr11	3429810	3429878	ENSG00000110713	-	chr11:3429810-3429878	negative	train	0.0473060577738009	389143	9.1868554e-05
chr11	3692312	3819022	chr11	3429588	3429768	ENSG00000110713	-	chr11:3429588-3429768	negative	train	-0.0784990921229646	389253	9.1868554e-05
chr11	3692312	3819022	chr11	3425772	3426204	ENSG00000110713	-	chr11:3425772-3426204	negative	train	-0.0297567820423555	392817	0.00095787203
chr11	3692312	3819022	chr11	3425466	3425591	ENSG00000110713	-	chr11:3425466-3425591	negative	train	0.0573003683148383	393430	0.00095787203
chr11	3692312	3819022	chr11	3422453	3422556	ENSG00000110713	-	chr11:3422453-3422556	negative	train	-0.0197842861941315	396465	0.00014097836
chr11	3692312	3819022	chr11	4216158	4216534	ENSG00000110713	-	chr11:4216158-4216534	negative	train	-0.0607450515437894	397137	0.00065029242
chr11	3692312	3819022	chr11	4218165	4218384	ENSG00000110713	-	chr11:4218165-4218384	negative	train	0.0130236998284466	399144	0.00037542133
chr11	1773981	1785222	chr11	1783607	1784126	ENSG00000117984	-	chr11:1783607-1784126	positive	train	-0.25940681474805	1095	0.067980245
chr11	1773981	1785222	chr11	1781614	1781939	ENSG00000117984	-	chr11:1781614-1781939	negative	train	-0.0518752356123098	3282	0.047105455
chr11	1773981	1785222	chr11	1790546	1790718	ENSG00000117984	-	chr11:1790546-1790718	negative	train	-0.0234216930379043	5325	0.023457095
chr11	1773981	1785222	chr11	1790719	1790916	ENSG00000117984	-	chr11:1790719-1790916	negative	test	0.0057898294041611	5498	0.023457095
chr11	1773981	1785222	chr11	1793389	1794201	ENSG00000117984	-	chr11:1793389-1794201	negative	train	-0.0966043927456584	8168	0.27325156
chr11	1773981	1785222	chr11	1804106	1804560	ENSG00000117984	-	chr11:1804106-1804560	negative	test	0.0289428121040174	18885	0.017566218
chr11	1773981	1785222	chr11	1865687	1866233	ENSG00000117984	-	chr11:1865687-1866233	negative	train	0.0106287231874731	80466	0.0037980789
chr11	1773981	1785222	chr11	1989835	1990190	ENSG00000117984	-	chr11:1989835-1990190	negative	valid	-0.0165060266220698	204614	0.0054553092
chr11	1773981	1785222	chr11	1991144	1991394	ENSG00000117984	-	chr11:1991144-1991394	negative	test	0.0505158474448932	205923	0.0054553092
chr11	1773981	1785222	chr11	1569738	1569888	ENSG00000117984	-	chr11:1569738-1569888	negative	test	-0.0299339873412743	215333	0.00043007148
